,Date,Time [h],Cycle,Biolector well,Trigger,Source,Destination,Sample volume,Mode,Tip,Sampling round,Sample ID
20,03-03-2022,"46,2586111111111",463,E01,Sample5 (Abs.Time [h]),BioLector:E01,Slot3:1,100,Sampling,Fixed,5,CFB5-S5-D3:1-U1
21,03-03-2022,"46,2586111111111",463,E02,Sample5 (Abs.Time [h]),BioLector:E02,Slot3:2,100,Sampling,Fixed,5,CFB5-S5-D3:2-U1
22,03-03-2022,"46,2586111111111",463,E03,Sample5 (Abs.Time [h]),BioLector:E03,Slot3:3,100,Sampling,Fixed,5,CFB5-S5-D3:3-U1
23,03-03-2022,"46,2586111111111",463,E04,Sample5 (Abs.Time [h]),BioLector:E04,Slot3:4,100,Sampling,Fixed,5,CFB5-S5-D3:4-U1
24,03-03-2022,"46,2586111111111",463,E05,Sample5 (Abs.Time [h]),BioLector:E05,Slot3:5,100,Sampling,Fixed,5,CFB5-S5-D3:5-U1
25,03-03-2022,"46,2586111111111",463,E06,Sample5 (Abs.Time [h]),BioLector:E06,Slot3:6,100,Sampling,Fixed,5,CFB5-S5-D3:6-U1
26,03-03-2022,"46,7586111111111",468,D07,Sample6 (Abs.Time [h]),BioLector:D07,Slot3:1,300,Sampling,Fixed,6,CFB5-S6-D3:1-U1
27,03-03-2022,"46,7586111111111",468,D08,Sample6 (Abs.Time [h]),BioLector:D08,Slot3:2,300,Sampling,Fixed,6,CFB5-S6-D3:2-U1
28,03-03-2022,"48,0588888888889",481,F01,Sample7 (Abs.Time [h]),BioLector:F01,Slot3:1,300,Sampling,Fixed,7,CFB5-S7-D3:1-U1
29,03-03-2022,"48,0588888888889",481,F02,Sample7 (Abs.Time [h]),BioLector:F02,Slot3:2,300,Sampling,Fixed,7,CFB5-S7-D3:2-U1
30,03-03-2022,"48,0588888888889",481,F03,Sample7 (Abs.Time [h]),BioLector:F03,Slot3:3,300,Sampling,Fixed,7,CFB5-S7-D3:3-U1
31,03-03-2022,"48,0588888888889",481,F04,Sample7 (Abs.Time [h]),BioLector:F04,Slot3:4,300,Sampling,Fixed,7,CFB5-S7-D3:4-U1
32,03-03-2022,"48,0588888888889",481,F05,Sample7 (Abs.Time [h]),BioLector:F05,Slot3:5,300,Sampling,Fixed,7,CFB5-S7-D3:5-U1
33,03-03-2022,"48,0588888888889",481,F06,Sample7 (Abs.Time [h]),BioLector:F06,Slot3:6,300,Sampling,Fixed,7,CFB5-S7-D3:6-U1
34,03-03-2022,"48,0588888888889",481,C01,Sample7_2 (Abs.Time [h]),BioLector:C01,Slot3:1,300,Sampling,Fixed,7,CFB5-S7-D3:1-U2
35,03-03-2022,"48,0588888888889",481,C02,Sample7_2 (Abs.Time [h]),BioLector:C02,Slot3:2,300,Sampling,Fixed,7,CFB5-S7-D3:2-U2
36,03-03-2022,"48,0588888888889",481,C03,Sample7_2 (Abs.Time [h]),BioLector:C03,Slot3:3,300,Sampling,Fixed,7,CFB5-S7-D3:3-U2
37,03-03-2022,"48,0588888888889",481,C04,Sample7_2 (Abs.Time [h]),BioLector:C04,Slot3:4,300,Sampling,Fixed,7,CFB5-S7-D3:4-U2
38,03-03-2022,"48,0588888888889",481,C05,Sample7_2 (Abs.Time [h]),BioLector:C05,Slot3:5,300,Sampling,Fixed,7,CFB5-S7-D3:5-U2
39,03-03-2022,"48,0588888888889",481,C06,Sample7_2 (Abs.Time [h]),BioLector:C06,Slot3:6,300,Sampling,Fixed,7,CFB5-S7-D3:6-U2
40,03-03-2022,"48,0588888888889",481,D01,Sample7_2 (Abs.Time [h]),BioLector:D01,Slot3:7,300,Sampling,Fixed,7,CFB5-S7-D3:7-U1
41,03-03-2022,"48,0588888888889",481,D02,Sample7_2 (Abs.Time [h]),BioLector:D02,Slot3:8,300,Sampling,Fixed,7,CFB5-S7-D3:8-U1
42,03-03-2022,"48,0588888888889",481,D03,Sample7_2 (Abs.Time [h]),BioLector:D03,Slot3:9,300,Sampling,Fixed,7,CFB5-S7-D3:9-U1
43,03-03-2022,"48,0588888888889",481,D04,Sample7_2 (Abs.Time [h]),BioLector:D04,Slot3:10,300,Sampling,Fixed,7,CFB5-S7-D3:10-U1
44,03-03-2022,"48,0588888888889",481,D05,Sample7_2 (Abs.Time [h]),BioLector:D05,Slot3:11,300,Sampling,Fixed,7,CFB5-S7-D3:11-U1
45,03-03-2022,"48,0588888888889",481,D06,Sample7_2 (Abs.Time [h]),BioLector:D06,Slot3:12,300,Sampling,Fixed,7,CFB5-S7-D3:12-U1
46,03-03-2022,"48,0588888888889",481,E01,Sample7_2 (Abs.Time [h]),BioLector:E01,Slot3:13,300,Sampling,Fixed,7,CFB5-S7-D3:13-U1
47,03-03-2022,"48,0588888888889",481,E02,Sample7_2 (Abs.Time [h]),BioLector:E02,Slot3:14,300,Sampling,Fixed,7,CFB5-S7-D3:14-U1
48,03-03-2022,"48,0588888888889",481,E03,Sample7_2 (Abs.Time [h]),BioLector:E03,Slot3:15,300,Sampling,Fixed,7,CFB5-S7-D3:15-U1
49,03-03-2022,"48,0588888888889",481,E04,Sample7_2 (Abs.Time [h]),BioLector:E04,Slot3:16,300,Sampling,Fixed,7,CFB5-S7-D3:16-U1
50,03-03-2022,"48,0588888888889",481,E05,Sample7_2 (Abs.Time [h]),BioLector:E05,Slot3:17,300,Sampling,Fixed,7,CFB5-S7-D3:17-U1
51,03-03-2022,"48,0588888888889",481,E06,Sample7_2 (Abs.Time [h]),BioLector:E06,Slot3:18,300,Sampling,Fixed,7,CFB5-S7-D3:18-U1
52,03-03-2022,"48,5216666666667",485,E07,Sample8 (Abs.Time [h]),BioLector:E07,Slot3:1,100,Sampling,Fixed,8,CFB5-S8-D3:1-U1
53,03-03-2022,"48,5216666666667",485,E08,Sample8 (Abs.Time [h]),BioLector:E08,Slot3:2,100,Sampling,Fixed,8,CFB5-S8-D3:2-U1
54,03-03-2022,"50,3216666666667",503,E07,Sample9 (Abs.Time [h]),BioLector:E07,Slot3:1,100,Sampling,Fixed,9,CFB5-S9-D3:1-U1
55,03-03-2022,"50,3216666666667",503,E08,Sample9 (Abs.Time [h]),BioLector:E08,Slot3:2,100,Sampling,Fixed,9,CFB5-S9-D3:2-U1
56,03-03-2022,"52,0216666666667",520,C07,Sample10 (Abs.Time [h]),BioLector:C07,Slot3:3,300,Sampling,Fixed,10,CFB5-S10-D3:3-U1
57,03-03-2022,"52,0216666666667",520,C08,Sample10 (Abs.Time [h]),BioLector:C08,Slot3:4,300,Sampling,Fixed,10,CFB5-S10-D3:4-U1
58,03-03-2022,"52,0216666666667",520,D07,Sample10 (Abs.Time [h]),BioLector:D07,Slot3:5,300,Sampling,Fixed,10,CFB5-S10-D3:5-U1
59,03-03-2022,"52,0216666666667",520,D08,Sample10 (Abs.Time [h]),BioLector:D08,Slot3:6,300,Sampling,Fixed,10,CFB5-S10-D3:6-U1
60,03-03-2022,"52,0216666666667",520,E07,Sample10 (Abs.Time [h]),BioLector:E07,Slot3:7,300,Sampling,Fixed,10,CFB5-S10-D3:7-U1
61,03-03-2022,"52,0216666666667",520,E08,Sample10 (Abs.Time [h]),BioLector:E08,Slot3:8,300,Sampling,Fixed,10,CFB5-S10-D3:8-U1
62,03-03-2022,"52,0216666666667",520,F07,Sample10 (Abs.Time [h]),BioLector:F07,Slot3:1,300,Sampling,Fixed,10,CFB5-S10-D3:1-U1
63,03-03-2022,"52,0216666666667",520,F08,Sample10 (Abs.Time [h]),BioLector:F08,Slot3:2,300,Sampling,Fixed,10,CFB5-S10-D3:2-U1
